year,state,county,county_code,month,weekday,wkday_hospital_deaths,covid_wkday_hospital_deaths
2018,OK,Adair,40001,Jan,Sunday,Suppressed,0
2018,OK,Adair,40001,Jan,Monday,Suppressed,0
2018,OK,Adair,40001,Jan,Tuesday,0,0
2018,OK,Adair,40001,Jan,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jan,Thursday,0,0
2018,OK,Adair,40001,Jan,Friday,Suppressed,0
2018,OK,Adair,40001,Jan,Saturday,Suppressed,0
2018,OK,Adair,40001,Jan,Unknown,0,0
2018,OK,Adair,40001,Feb,Sunday,Suppressed,0
2018,OK,Adair,40001,Feb,Monday,Suppressed,0
2018,OK,Adair,40001,Feb,Tuesday,Suppressed,0
2018,OK,Adair,40001,Feb,Wednesday,Suppressed,0
2018,OK,Adair,40001,Feb,Thursday,Suppressed,0
2018,OK,Adair,40001,Feb,Friday,Suppressed,0
2018,OK,Adair,40001,Feb,Saturday,Suppressed,0
2018,OK,Adair,40001,Feb,Unknown,0,0
2018,OK,Adair,40001,Mar,Sunday,Suppressed,0
2018,OK,Adair,40001,Mar,Monday,Suppressed,0
2018,OK,Adair,40001,Mar,Tuesday,Suppressed,0
2018,OK,Adair,40001,Mar,Wednesday,Suppressed,0
2018,OK,Adair,40001,Mar,Thursday,Suppressed,0
2018,OK,Adair,40001,Mar,Friday,Suppressed,0
2018,OK,Adair,40001,Mar,Saturday,Suppressed,0
2018,OK,Adair,40001,Mar,Unknown,0,0
2018,OK,Adair,40001,Apr,Sunday,Suppressed,0
2018,OK,Adair,40001,Apr,Monday,Suppressed,0
2018,OK,Adair,40001,Apr,Tuesday,Suppressed,0
2018,OK,Adair,40001,Apr,Wednesday,Suppressed,0
2018,OK,Adair,40001,Apr,Thursday,Suppressed,0
2018,OK,Adair,40001,Apr,Friday,Suppressed,0
2018,OK,Adair,40001,Apr,Saturday,Suppressed,0
2018,OK,Adair,40001,Apr,Unknown,0,0
2018,OK,Adair,40001,May,Sunday,Suppressed,0
2018,OK,Adair,40001,May,Monday,0,0
2018,OK,Adair,40001,May,Tuesday,0,0
2018,OK,Adair,40001,May,Wednesday,Suppressed,0
2018,OK,Adair,40001,May,Thursday,Suppressed,0
2018,OK,Adair,40001,May,Friday,Suppressed,0
2018,OK,Adair,40001,May,Saturday,Suppressed,0
2018,OK,Adair,40001,May,Unknown,0,0
2018,OK,Adair,40001,Jun,Sunday,Suppressed,0
2018,OK,Adair,40001,Jun,Monday,0,0
2018,OK,Adair,40001,Jun,Tuesday,Suppressed,0
2018,OK,Adair,40001,Jun,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jun,Thursday,Suppressed,0
2018,OK,Adair,40001,Jun,Friday,Suppressed,0
2018,OK,Adair,40001,Jun,Saturday,Suppressed,0
2018,OK,Adair,40001,Jun,Unknown,0,0
2018,OK,Adair,40001,Jul,Sunday,Suppressed,0
2018,OK,Adair,40001,Jul,Monday,Suppressed,0
2018,OK,Adair,40001,Jul,Tuesday,Suppressed,0
2018,OK,Adair,40001,Jul,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jul,Thursday,Suppressed,0
2018,OK,Adair,40001,Jul,Friday,0,0
2018,OK,Adair,40001,Jul,Saturday,Suppressed,0
2018,OK,Adair,40001,Jul,Unknown,0,0
2018,OK,Adair,40001,Aug,Sunday,Suppressed,0
2018,OK,Adair,40001,Aug,Monday,Suppressed,0
2018,OK,Adair,40001,Aug,Tuesday,0,0
2018,OK,Adair,40001,Aug,Wednesday,Suppressed,0
2018,OK,Adair,40001,Aug,Thursday,Suppressed,0
2018,OK,Adair,40001,Aug,Friday,Suppressed,0
2018,OK,Adair,40001,Aug,Saturday,Suppressed,0
2018,OK,Adair,40001,Aug,Unknown,0,0
2018,OK,Adair,40001,Sep,Sunday,0,0
2018,OK,Adair,40001,Sep,Monday,Suppressed,0
2018,OK,Adair,40001,Sep,Tuesday,0,0
2018,OK,Adair,40001,Sep,Wednesday,Suppressed,0
2018,OK,Adair,40001,Sep,Thursday,Suppressed,0
2018,OK,Adair,40001,Sep,Friday,Suppressed,0
2018,OK,Adair,40001,Sep,Saturday,Suppressed,0
2018,OK,Adair,40001,Sep,Unknown,0,0
2018,OK,Adair,40001,Oct,Sunday,Suppressed,0
2018,OK,Adair,40001,Oct,Monday,0,0
2018,OK,Adair,40001,Oct,Tuesday,Suppressed,0
2018,OK,Adair,40001,Oct,Wednesday,Suppressed,0
2018,OK,Adair,40001,Oct,Thursday,Suppressed,0
2018,OK,Adair,40001,Oct,Friday,Suppressed,0
2018,OK,Adair,40001,Oct,Saturday,0,0
2018,OK,Adair,40001,Oct,Unknown,0,0
2018,OK,Adair,40001,Nov,Sunday,0,0
2018,OK,Adair,40001,Nov,Monday,0,0
2018,OK,Adair,40001,Nov,Tuesday,Suppressed,0
2018,OK,Adair,40001,Nov,Wednesday,Suppressed,0
2018,OK,Adair,40001,Nov,Thursday,Suppressed,0
2018,OK,Adair,40001,Nov,Friday,Suppressed,0
2018,OK,Adair,40001,Nov,Saturday,Suppressed,0
2018,OK,Adair,40001,Nov,Unknown,0,0
2018,OK,Adair,40001,Dec,Sunday,Suppressed,0
2018,OK,Adair,40001,Dec,Monday,Suppressed,0
2018,OK,Adair,40001,Dec,Tuesday,Suppressed,0
2018,OK,Adair,40001,Dec,Wednesday,0,0
2018,OK,Adair,40001,Dec,Thursday,Suppressed,0
2018,OK,Adair,40001,Dec,Friday,Suppressed,0
2018,OK,Adair,40001,Dec,Saturday,Suppressed,0
2018,OK,Adair,40001,Dec,Unknown,0,0
2018,OK,Alfalfa,40003,Jan,Sunday,0,0
2018,OK,Alfalfa,40003,Jan,Monday,Suppressed,0
2018,OK,Alfalfa,40003,Jan,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Jan,Wednesday,Suppressed,0
2018,OK,Alfalfa,40003,Jan,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Jan,Friday,0,0
2018,OK,Alfalfa,40003,Jan,Saturday,0,0
2018,OK,Alfalfa,40003,Jan,Unknown,0,0
2018,OK,Alfalfa,40003,Feb,Sunday,0,0
2018,OK,Alfalfa,40003,Feb,Monday,0,0
2018,OK,Alfalfa,40003,Feb,Tuesday,0,0
2018,OK,Alfalfa,40003,Feb,Wednesday,0,0
2018,OK,Alfalfa,40003,Feb,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Feb,Friday,0,0
2018,OK,Alfalfa,40003,Feb,Saturday,0,0
2018,OK,Alfalfa,40003,Feb,Unknown,0,0
2018,OK,Alfalfa,40003,Mar,Sunday,0,0
2018,OK,Alfalfa,40003,Mar,Monday,Suppressed,0
2018,OK,Alfalfa,40003,Mar,Tuesday,0,0
2018,OK,Alfalfa,40003,Mar,Wednesday,0,0
2018,OK,Alfalfa,40003,Mar,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Mar,Friday,0,0
2018,OK,Alfalfa,40003,Mar,Saturday,0,0
2018,OK,Alfalfa,40003,Mar,Unknown,0,0
2018,OK,Alfalfa,40003,Apr,Sunday,Suppressed,0
2018,OK,Alfalfa,40003,Apr,Monday,0,0
2018,OK,Alfalfa,40003,Apr,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Apr,Wednesday,0,0
2018,OK,Alfalfa,40003,Apr,Thursday,0,0
2018,OK,Alfalfa,40003,Apr,Friday,0,0
2018,OK,Alfalfa,40003,Apr,Saturday,0,0
2018,OK,Alfalfa,40003,Apr,Unknown,0,0
2018,OK,Alfalfa,40003,May,Sunday,0,0
2018,OK,Alfalfa,40003,May,Monday,0,0
2018,OK,Alfalfa,40003,May,Tuesday,0,0
2018,OK,Alfalfa,40003,May,Wednesday,0,0
2018,OK,Alfalfa,40003,May,Thursday,0,0
2018,OK,Alfalfa,40003,May,Friday,0,0
2018,OK,Alfalfa,40003,May,Saturday,Suppressed,0
2018,OK,Alfalfa,40003,May,Unknown,0,0
2018,OK,Alfalfa,40003,Jun,Sunday,Suppressed,0
2018,OK,Alfalfa,40003,Jun,Monday,0,0
2018,OK,Alfalfa,40003,Jun,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Jun,Wednesday,0,0
2018,OK,Alfalfa,40003,Jun,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Jun,Friday,Suppressed,0
2018,OK,Alfalfa,40003,Jun,Saturday,0,0
2018,OK,Alfalfa,40003,Jun,Unknown,0,0
2018,OK,Alfalfa,40003,Jul,Sunday,Suppressed,0
2018,OK,Alfalfa,40003,Jul,Monday,Suppressed,0
2018,OK,Alfalfa,40003,Jul,Tuesday,0,0
2018,OK,Alfalfa,40003,Jul,Wednesday,0,0
2018,OK,Alfalfa,40003,Jul,Thursday,0,0
2018,OK,Alfalfa,40003,Jul,Friday,0,0
2018,OK,Alfalfa,40003,Jul,Saturday,0,0
2018,OK,Alfalfa,40003,Jul,Unknown,0,0
2018,OK,Alfalfa,40003,Aug,Sunday,0,0
2018,OK,Alfalfa,40003,Aug,Monday,0,0
2018,OK,Alfalfa,40003,Aug,Tuesday,0,0
2018,OK,Alfalfa,40003,Aug,Wednesday,0,0
2018,OK,Alfalfa,40003,Aug,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Aug,Friday,0,0
2018,OK,Alfalfa,40003,Aug,Saturday,Suppressed,0
2018,OK,Alfalfa,40003,Aug,Unknown,0,0
2018,OK,Alfalfa,40003,Sep,Sunday,Suppressed,0
2018,OK,Alfalfa,40003,Sep,Monday,0,0
2018,OK,Alfalfa,40003,Sep,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Sep,Wednesday,0,0
2018,OK,Alfalfa,40003,Sep,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Sep,Friday,Suppressed,0
2018,OK,Alfalfa,40003,Sep,Saturday,Suppressed,0
2018,OK,Alfalfa,40003,Sep,Unknown,0,0
2018,OK,Alfalfa,40003,Oct,Sunday,0,0
2018,OK,Alfalfa,40003,Oct,Monday,0,0
2018,OK,Alfalfa,40003,Oct,Tuesday,0,0
2018,OK,Alfalfa,40003,Oct,Wednesday,Suppressed,0
2018,OK,Alfalfa,40003,Oct,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Oct,Friday,Suppressed,0
2018,OK,Alfalfa,40003,Oct,Saturday,0,0
2018,OK,Alfalfa,40003,Oct,Unknown,0,0
2018,OK,Alfalfa,40003,Nov,Sunday,0,0
2018,OK,Alfalfa,40003,Nov,Monday,0,0
2018,OK,Alfalfa,40003,Nov,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Nov,Wednesday,0,0
2018,OK,Alfalfa,40003,Nov,Thursday,0,0
2018,OK,Alfalfa,40003,Nov,Friday,0,0
2018,OK,Alfalfa,40003,Nov,Saturday,0,0
2018,OK,Alfalfa,40003,Nov,Unknown,0,0
2018,OK,Alfalfa,40003,Dec,Sunday,0,0
2018,OK,Alfalfa,40003,Dec,Monday,Suppressed,0
2018,OK,Alfalfa,40003,Dec,Tuesday,Suppressed,0
2018,OK,Alfalfa,40003,Dec,Wednesday,0,0
2018,OK,Alfalfa,40003,Dec,Thursday,Suppressed,0
2018,OK,Alfalfa,40003,Dec,Friday,0,0
2018,OK,Alfalfa,40003,Dec,Saturday,Suppressed,0
2018,OK,Alfalfa,40003,Dec,Unknown,0,0
2018,OK,Atoka,40005,Jan,Sunday,Suppressed,0
2018,OK,Atoka,40005,Jan,Monday,Suppressed,0
2018,OK,Atoka,40005,Jan,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Jan,Wednesday,Suppressed,0
2018,OK,Atoka,40005,Jan,Thursday,Suppressed,0
2018,OK,Atoka,40005,Jan,Friday,Suppressed,0
2018,OK,Atoka,40005,Jan,Saturday,Suppressed,0
2018,OK,Atoka,40005,Jan,Unknown,0,0
2018,OK,Atoka,40005,Feb,Sunday,0,0
2018,OK,Atoka,40005,Feb,Monday,Suppressed,0
2018,OK,Atoka,40005,Feb,Tuesday,0,0
2018,OK,Atoka,40005,Feb,Wednesday,0,0
2018,OK,Atoka,40005,Feb,Thursday,Suppressed,0
2018,OK,Atoka,40005,Feb,Friday,0,0
2018,OK,Atoka,40005,Feb,Saturday,Suppressed,0
2018,OK,Atoka,40005,Feb,Unknown,0,0
2018,OK,Atoka,40005,Mar,Sunday,0,0
2018,OK,Atoka,40005,Mar,Monday,Suppressed,0
2018,OK,Atoka,40005,Mar,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Mar,Wednesday,Suppressed,0
2018,OK,Atoka,40005,Mar,Thursday,Suppressed,0
2018,OK,Atoka,40005,Mar,Friday,0,0
2018,OK,Atoka,40005,Mar,Saturday,Suppressed,0
2018,OK,Atoka,40005,Mar,Unknown,0,0
2018,OK,Atoka,40005,Apr,Sunday,Suppressed,0
2018,OK,Atoka,40005,Apr,Monday,Suppressed,0
2018,OK,Atoka,40005,Apr,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Apr,Wednesday,0,0
2018,OK,Atoka,40005,Apr,Thursday,0,0
2018,OK,Atoka,40005,Apr,Friday,Suppressed,0
2018,OK,Atoka,40005,Apr,Saturday,Suppressed,0
2018,OK,Atoka,40005,Apr,Unknown,0,0
2018,OK,Atoka,40005,May,Sunday,0,0
2018,OK,Atoka,40005,May,Monday,0,0
2018,OK,Atoka,40005,May,Tuesday,Suppressed,0
2018,OK,Atoka,40005,May,Wednesday,Suppressed,0
2018,OK,Atoka,40005,May,Thursday,Suppressed,0
2018,OK,Atoka,40005,May,Friday,Suppressed,0
2018,OK,Atoka,40005,May,Saturday,0,0
2018,OK,Atoka,40005,May,Unknown,0,0
2018,OK,Atoka,40005,Jun,Sunday,0,0
2018,OK,Atoka,40005,Jun,Monday,Suppressed,0
2018,OK,Atoka,40005,Jun,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Jun,Wednesday,Suppressed,0
2018,OK,Atoka,40005,Jun,Thursday,0,0
2018,OK,Atoka,40005,Jun,Friday,0,0
2018,OK,Atoka,40005,Jun,Saturday,0,0
2018,OK,Atoka,40005,Jun,Unknown,0,0
2018,OK,Atoka,40005,Jul,Sunday,Suppressed,0
2018,OK,Atoka,40005,Jul,Monday,Suppressed,0
2018,OK,Atoka,40005,Jul,Tuesday,0,0
2018,OK,Atoka,40005,Jul,Wednesday,0,0
2018,OK,Atoka,40005,Jul,Thursday,Suppressed,0
2018,OK,Atoka,40005,Jul,Friday,Suppressed,0
2018,OK,Atoka,40005,Jul,Saturday,Suppressed,0
2018,OK,Atoka,40005,Jul,Unknown,0,0
2018,OK,Atoka,40005,Aug,Sunday,Suppressed,0
2018,OK,Atoka,40005,Aug,Monday,Suppressed,0
2018,OK,Atoka,40005,Aug,Tuesday,0,0
2018,OK,Atoka,40005,Aug,Wednesday,Suppressed,0
2018,OK,Atoka,40005,Aug,Thursday,Suppressed,0
2018,OK,Atoka,40005,Aug,Friday,Suppressed,0
2018,OK,Atoka,40005,Aug,Saturday,0,0
2018,OK,Atoka,40005,Aug,Unknown,0,0
2018,OK,Atoka,40005,Sep,Sunday,Suppressed,0
2018,OK,Atoka,40005,Sep,Monday,0,0
2018,OK,Atoka,40005,Sep,Tuesday,0,0
2018,OK,Atoka,40005,Sep,Wednesday,Suppressed,0
2018,OK,Atoka,40005,Sep,Thursday,Suppressed,0
2018,OK,Atoka,40005,Sep,Friday,Suppressed,0
2018,OK,Atoka,40005,Sep,Saturday,0,0
2018,OK,Atoka,40005,Sep,Unknown,0,0
2018,OK,Atoka,40005,Oct,Sunday,Suppressed,0
2018,OK,Atoka,40005,Oct,Monday,0,0
2018,OK,Atoka,40005,Oct,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Oct,Wednesday,0,0
2018,OK,Atoka,40005,Oct,Thursday,0,0
2018,OK,Atoka,40005,Oct,Friday,Suppressed,0
2018,OK,Atoka,40005,Oct,Saturday,0,0
2018,OK,Atoka,40005,Oct,Unknown,0,0
2018,OK,Atoka,40005,Nov,Sunday,Suppressed,0
2018,OK,Atoka,40005,Nov,Monday,Suppressed,0
2018,OK,Atoka,40005,Nov,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Nov,Wednesday,0,0
2018,OK,Atoka,40005,Nov,Thursday,Suppressed,0
2018,OK,Atoka,40005,Nov,Friday,0,0
2018,OK,Atoka,40005,Nov,Saturday,0,0
2018,OK,Atoka,40005,Nov,Unknown,0,0
2018,OK,Atoka,40005,Dec,Sunday,0,0
2018,OK,Atoka,40005,Dec,Monday,0,0
2018,OK,Atoka,40005,Dec,Tuesday,Suppressed,0
2018,OK,Atoka,40005,Dec,Wednesday,0,0
2018,OK,Atoka,40005,Dec,Thursday,Suppressed,0
2018,OK,Atoka,40005,Dec,Friday,Suppressed,0
2018,OK,Atoka,40005,Dec,Saturday,Suppressed,0
2018,OK,Atoka,40005,Dec,Unknown,0,0
2018,OK,Beaver,40007,Jan,Sunday,0,0
2018,OK,Beaver,40007,Jan,Monday,Suppressed,0
2018,OK,Beaver,40007,Jan,Tuesday,Suppressed,0
2018,OK,Beaver,40007,Jan,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Jan,Thursday,Suppressed,0
2018,OK,Beaver,40007,Jan,Friday,0,0
2018,OK,Beaver,40007,Jan,Saturday,0,0
2018,OK,Beaver,40007,Jan,Unknown,0,0
2018,OK,Beaver,40007,Feb,Sunday,0,0
2018,OK,Beaver,40007,Feb,Monday,Suppressed,0
2018,OK,Beaver,40007,Feb,Tuesday,0,0
2018,OK,Beaver,40007,Feb,Wednesday,0,0
2018,OK,Beaver,40007,Feb,Thursday,0,0
2018,OK,Beaver,40007,Feb,Friday,0,0
2018,OK,Beaver,40007,Feb,Saturday,Suppressed,0
2018,OK,Beaver,40007,Feb,Unknown,0,0
2018,OK,Beaver,40007,Mar,Sunday,0,0
2018,OK,Beaver,40007,Mar,Monday,0,0
2018,OK,Beaver,40007,Mar,Tuesday,0,0
2018,OK,Beaver,40007,Mar,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Mar,Thursday,0,0
2018,OK,Beaver,40007,Mar,Friday,Suppressed,0
2018,OK,Beaver,40007,Mar,Saturday,Suppressed,0
2018,OK,Beaver,40007,Mar,Unknown,0,0
2018,OK,Beaver,40007,Apr,Sunday,Suppressed,0
2018,OK,Beaver,40007,Apr,Monday,0,0
2018,OK,Beaver,40007,Apr,Tuesday,0,0
2018,OK,Beaver,40007,Apr,Wednesday,0,0
2018,OK,Beaver,40007,Apr,Thursday,Suppressed,0
2018,OK,Beaver,40007,Apr,Friday,Suppressed,0
2018,OK,Beaver,40007,Apr,Saturday,0,0
2018,OK,Beaver,40007,Apr,Unknown,0,0
2018,OK,Beaver,40007,May,Sunday,0,0
2018,OK,Beaver,40007,May,Monday,0,0
2018,OK,Beaver,40007,May,Tuesday,0,0
2018,OK,Beaver,40007,May,Wednesday,Suppressed,0
2018,OK,Beaver,40007,May,Thursday,0,0
2018,OK,Beaver,40007,May,Friday,Suppressed,0
2018,OK,Beaver,40007,May,Saturday,0,0
2018,OK,Beaver,40007,May,Unknown,0,0
2018,OK,Beaver,40007,Jun,Sunday,Suppressed,0
2018,OK,Beaver,40007,Jun,Monday,0,0
2018,OK,Beaver,40007,Jun,Tuesday,Suppressed,0
2018,OK,Beaver,40007,Jun,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Jun,Thursday,0,0
2018,OK,Beaver,40007,Jun,Friday,0,0
2018,OK,Beaver,40007,Jun,Saturday,0,0
2018,OK,Beaver,40007,Jun,Unknown,0,0
2018,OK,Beaver,40007,Jul,Sunday,0,0
2018,OK,Beaver,40007,Jul,Monday,Suppressed,0
2018,OK,Beaver,40007,Jul,Tuesday,0,0
2018,OK,Beaver,40007,Jul,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Jul,Thursday,0,0
2018,OK,Beaver,40007,Jul,Friday,0,0
2018,OK,Beaver,40007,Jul,Saturday,0,0
2018,OK,Beaver,40007,Jul,Unknown,0,0
2018,OK,Beaver,40007,Aug,Sunday,0,0
2018,OK,Beaver,40007,Aug,Monday,0,0
2018,OK,Beaver,40007,Aug,Tuesday,0,0
2018,OK,Beaver,40007,Aug,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Aug,Thursday,0,0
2018,OK,Beaver,40007,Aug,Friday,0,0
2018,OK,Beaver,40007,Aug,Saturday,0,0
2018,OK,Beaver,40007,Aug,Unknown,0,0
2018,OK,Beaver,40007,Sep,Sunday,0,0
2018,OK,Beaver,40007,Sep,Monday,Suppressed,0
2018,OK,Beaver,40007,Sep,Tuesday,0,0
2018,OK,Beaver,40007,Sep,Wednesday,0,0
2018,OK,Beaver,40007,Sep,Thursday,0,0
2018,OK,Beaver,40007,Sep,Friday,Suppressed,0
2018,OK,Beaver,40007,Sep,Saturday,0,0
2018,OK,Beaver,40007,Sep,Unknown,0,0
2018,OK,Beaver,40007,Oct,Sunday,0,0
2018,OK,Beaver,40007,Oct,Monday,0,0
2018,OK,Beaver,40007,Oct,Tuesday,Suppressed,0
2018,OK,Beaver,40007,Oct,Wednesday,Suppressed,0
2018,OK,Beaver,40007,Oct,Thursday,0,0
2018,OK,Beaver,40007,Oct,Friday,0,0
2018,OK,Beaver,40007,Oct,Saturday,Suppressed,0
2018,OK,Beaver,40007,Oct,Unknown,0,0
2018,OK,Beaver,40007,Nov,Sunday,0,0
2018,OK,Beaver,40007,Nov,Monday,0,0
2018,OK,Beaver,40007,Nov,Tuesday,Suppressed,0
2018,OK,Beaver,40007,Nov,Wednesday,0,0
2018,OK,Beaver,40007,Nov,Thursday,0,0
2018,OK,Beaver,40007,Nov,Friday,0,0
2018,OK,Beaver,40007,Nov,Saturday,0,0
2018,OK,Beaver,40007,Nov,Unknown,0,0
2018,OK,Beaver,40007,Dec,Sunday,Suppressed,0
2018,OK,Beaver,40007,Dec,Monday,0,0
2018,OK,Beaver,40007,Dec,Tuesday,Suppressed,0
2018,OK,Beaver,40007,Dec,Wednesday,0,0
2018,OK,Beaver,40007,Dec,Thursday,0,0
2018,OK,Beaver,40007,Dec,Friday,0,0
2018,OK,Beaver,40007,Dec,Saturday,Suppressed,0
2018,OK,Beaver,40007,Dec,Unknown,0,0
2018,OK,Beckham,40009,Jan,Sunday,Suppressed,0
2018,OK,Beckham,40009,Jan,Monday,Suppressed,0
2018,OK,Beckham,40009,Jan,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Jan,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Jan,Thursday,Suppressed,0
2018,OK,Beckham,40009,Jan,Friday,Suppressed,0
2018,OK,Beckham,40009,Jan,Saturday,Suppressed,0
2018,OK,Beckham,40009,Jan,Unknown,0,0
2018,OK,Beckham,40009,Feb,Sunday,Suppressed,0
2018,OK,Beckham,40009,Feb,Monday,0,0
2018,OK,Beckham,40009,Feb,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Feb,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Feb,Thursday,0,0
2018,OK,Beckham,40009,Feb,Friday,Suppressed,0
2018,OK,Beckham,40009,Feb,Saturday,Suppressed,0
2018,OK,Beckham,40009,Feb,Unknown,0,0
2018,OK,Beckham,40009,Mar,Sunday,0,0
2018,OK,Beckham,40009,Mar,Monday,Suppressed,0
2018,OK,Beckham,40009,Mar,Tuesday,0,0
2018,OK,Beckham,40009,Mar,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Mar,Thursday,Suppressed,0
2018,OK,Beckham,40009,Mar,Friday,Suppressed,0
2018,OK,Beckham,40009,Mar,Saturday,Suppressed,0
2018,OK,Beckham,40009,Mar,Unknown,0,0
2018,OK,Beckham,40009,Apr,Sunday,Suppressed,0
2018,OK,Beckham,40009,Apr,Monday,Suppressed,0
2018,OK,Beckham,40009,Apr,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Apr,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Apr,Thursday,Suppressed,0
2018,OK,Beckham,40009,Apr,Friday,Suppressed,0
2018,OK,Beckham,40009,Apr,Saturday,Suppressed,0
2018,OK,Beckham,40009,Apr,Unknown,0,0
2018,OK,Beckham,40009,May,Sunday,Suppressed,0
2018,OK,Beckham,40009,May,Monday,Suppressed,0
2018,OK,Beckham,40009,May,Tuesday,0,0
2018,OK,Beckham,40009,May,Wednesday,Suppressed,0
2018,OK,Beckham,40009,May,Thursday,0,0
2018,OK,Beckham,40009,May,Friday,Suppressed,0
2018,OK,Beckham,40009,May,Saturday,Suppressed,0
2018,OK,Beckham,40009,May,Unknown,0,0
2018,OK,Beckham,40009,Jun,Sunday,Suppressed,0
2018,OK,Beckham,40009,Jun,Monday,Suppressed,0
2018,OK,Beckham,40009,Jun,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Jun,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Jun,Thursday,Suppressed,0
2018,OK,Beckham,40009,Jun,Friday,Suppressed,0
2018,OK,Beckham,40009,Jun,Saturday,Suppressed,0
2018,OK,Beckham,40009,Jun,Unknown,0,0
2018,OK,Beckham,40009,Jul,Sunday,Suppressed,0
2018,OK,Beckham,40009,Jul,Monday,Suppressed,0
2018,OK,Beckham,40009,Jul,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Jul,Wednesday,0,0
2018,OK,Beckham,40009,Jul,Thursday,Suppressed,0
2018,OK,Beckham,40009,Jul,Friday,0,0
2018,OK,Beckham,40009,Jul,Saturday,Suppressed,0
2018,OK,Beckham,40009,Jul,Unknown,0,0
2018,OK,Beckham,40009,Aug,Sunday,Suppressed,0
2018,OK,Beckham,40009,Aug,Monday,Suppressed,0
2018,OK,Beckham,40009,Aug,Tuesday,0,0
2018,OK,Beckham,40009,Aug,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Aug,Thursday,Suppressed,0
2018,OK,Beckham,40009,Aug,Friday,Suppressed,0
2018,OK,Beckham,40009,Aug,Saturday,Suppressed,0
2018,OK,Beckham,40009,Aug,Unknown,0,0
2018,OK,Beckham,40009,Sep,Sunday,Suppressed,0
2018,OK,Beckham,40009,Sep,Monday,Suppressed,0
2018,OK,Beckham,40009,Sep,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Sep,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Sep,Thursday,Suppressed,0
2018,OK,Beckham,40009,Sep,Friday,Suppressed,0
2018,OK,Beckham,40009,Sep,Saturday,Suppressed,0
2018,OK,Beckham,40009,Sep,Unknown,0,0
2018,OK,Beckham,40009,Oct,Sunday,Suppressed,0
2018,OK,Beckham,40009,Oct,Monday,Suppressed,0
2018,OK,Beckham,40009,Oct,Tuesday,0,0
2018,OK,Beckham,40009,Oct,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Oct,Thursday,Suppressed,0
2018,OK,Beckham,40009,Oct,Friday,Suppressed,0
2018,OK,Beckham,40009,Oct,Saturday,Suppressed,0
2018,OK,Beckham,40009,Oct,Unknown,0,0
2018,OK,Beckham,40009,Nov,Sunday,0,0
2018,OK,Beckham,40009,Nov,Monday,Suppressed,0
2018,OK,Beckham,40009,Nov,Tuesday,0,0
2018,OK,Beckham,40009,Nov,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Nov,Thursday,Suppressed,0
2018,OK,Beckham,40009,Nov,Friday,Suppressed,0
2018,OK,Beckham,40009,Nov,Saturday,Suppressed,0
2018,OK,Beckham,40009,Nov,Unknown,0,0
2018,OK,Beckham,40009,Dec,Sunday,0,0
2018,OK,Beckham,40009,Dec,Monday,Suppressed,0
2018,OK,Beckham,40009,Dec,Tuesday,Suppressed,0
2018,OK,Beckham,40009,Dec,Wednesday,Suppressed,0
2018,OK,Beckham,40009,Dec,Thursday,Suppressed,0
2018,OK,Beckham,40009,Dec,Friday,Suppressed,0
